ID,magic number,timestamp
18,70,9/7/2025
19,43,8/20/2025
20,72,8/3/2025
21,22,6/24/2025
22,6,3/4/2025
23,84,7/22/2025
24,28,5/7/2025
25,89,9/1/2025
26,11,4/5/2025
27,9,6/18/2025
28,24,2/21/2025
29,44,9/22/2025
30,29,6/21/2025
31,70,7/18/2025
32,91,6/6/2025
33,25,6/25/2025
34,85,3/27/2025
35,68,7/30/2025
36,92,4/14/2025
37,84,5/5/2025
38,92,2/7/2025
39,58,6/18/2025
40,61,7/11/2025
41,57,1/14/2025
42,39,1/2/2025
43,41,5/3/2025
44,59,9/4/2025
45,81,9/16/2025
46,70,9/5/2025
47,59,4/30/2025
48,87,2/18/2025
49,80,4/3/2025
0,60,1/15/2025
1,48,4/16/2025
2,10,5/25/2025
3,2,7/19/2025
4,84,6/22/2025
5,21,2/23/2025
6,63,11/10/2025
7,38,6/19/2025
8,80,8/26/2025
9,62,8/31/2025
10,27,7/23/2025
11,10,10/8/2025
12,75,6/26/2025
13,88,4/1/2025
14,68,1/3/2025
15,39,12/30/2025
16,16,12/28/2025
17,53,3/4/2025
18,74,5/19/2025
19,30,7/30/2025
20,24,12/17/2025
21,68,4/16/2025
22,95,7/6/2025
23,38,1/8/2025
24,100,8/22/2025
25,10,5/27/2025
26,49,7/8/2025
27,73,2/16/2025
28,14,12/12/2025
29,92,9/20/2025
30,47,12/7/2025
31,12,9/17/2025
32,29,12/30/2025
33,65,2/3/2025
34,12,10/10/2025
35,72,6/7/2025
36,8,12/18/2025
37,10,7/23/2025
38,93,6/13/2025
39,68,10/5/2025
40,57,7/22/2025
41,70,8/22/2025
42,11,7/3/2025
43,78,4/4/2025
44,80,7/3/2025
45,42,1/11/2025
46,13,7/15/2025
47,92,6/16/2025
48,26,6/1/2025
49,70,12/21/2025
0,16,2/28/2025
1,62,5/2/2025
2,61,1/17/2025
3,49,10/10/2025
4,17,1/1/2025
5,35,9/7/2025
6,54,11/6/2025
7,8,8/2/2025
8,31,3/20/2025
9,25,6/2/2025
10,72,12/17/2025
11,27,4/22/2025
12,27,11/30/2025
13,56,12/19/2025
14,10,3/8/2025
15,67,1/21/2025
16,95,10/29/2025
17,55,4/29/2025
18,46,3/21/2025
19,86,5/15/2025
20,35,6/28/2025
21,68,11/30/2025
22,14,8/17/2025
23,99,11/18/2025
24,71,5/28/2025
25,96,4/30/2025
26,61,1/11/2025
27,1,1/2/2025
28,24,5/8/2025
29,73,2/5/2025
30,69,12/24/2025
31,83,7/24/2025
32,40,10/9/2025
33,6,3/6/2025
34,15,7/21/2025
35,94,4/2/2025
36,57,2/22/2025
37,36,4/24/2025
38,79,7/12/2025
39,55,9/29/2025
40,43,5/28/2025
41,44,2/24/2025
42,83,8/25/2025
43,37,5/28/2025
44,43,8/2/2025
45,69,6/21/2025
46,95,10/23/2025
47,41,9/7/2025
48,70,11/16/2025
49,36,9/11/2025
0,50,8/30/2025
1,5,11/9/2025
2,48,9/9/2025
3,22,12/11/2025
4,94,12/3/2025
5,82,4/25/2025
6,70,7/14/2025
7,66,3/13/2025
8,41,4/11/2025
9,83,4/14/2025
10,83,5/2/2025
11,64,4/19/2025
12,51,6/17/2025
13,41,11/18/2025
14,2,2/22/2025
15,14,8/6/2025
16,31,8/31/2025
17,46,9/6/2025
18,90,1/2/2025
19,96,6/26/2025
20,36,7/17/2025
21,66,2/9/2025
22,97,8/14/2025
23,9,3/31/2025
24,89,2/8/2025
25,56,10/22/2025
26,45,5/2/2025
27,21,3/26/2025
28,43,1/26/2025
29,71,5/24/2025
30,62,5/23/2025
31,15,12/4/2025
32,77,5/27/2025
33,98,12/29/2025
34,16,10/19/2025
35,54,12/25/2025
36,11,1/25/2025
37,84,10/22/2025
38,66,12/19/2025
39,87,9/29/2025
40,58,1/14/2025
41,23,4/13/2025
42,66,7/10/2025
43,56,2/7/2025
44,38,6/7/2025
45,84,2/4/2025
46,69,9/16/2025
47,41,8/19/2025
48,13,4/29/2025
49,49,2/28/2025
0,66,9/4/2025
1,88,12/17/2025
2,92,2/6/2025
3,9,12/3/2025
4,75,1/13/2025
5,41,2/18/2025
6,84,11/6/2025
7,3,5/31/2025
8,89,12/14/2025
9,32,2/28/2025
10,47,3/18/2025
11,93,5/31/2025
12,3,2/17/2025
13,81,4/11/2025
14,99,2/18/2025
15,96,12/21/2025
16,8,1/31/2025
17,3,3/1/2025
18,33,5/24/2025
19,17,7/18/2025
20,24,8/22/2025
21,63,9/20/2025
22,94,8/18/2025
23,92,2/14/2025
24,78,8/24/2025
25,94,12/22/2025
26,78,10/11/2025
27,79,8/30/2025
28,69,9/27/2025
29,97,2/10/2025
30,75,8/29/2025
31,8,12/1/2025
32,42,5/8/2025
33,19,12/21/2025
34,65,4/13/2025
35,53,7/9/2025
36,48,5/10/2025
37,89,11/7/2025
38,71,7/21/2025
39,2,3/6/2025
40,51,4/11/2025
41,5,5/23/2025
42,44,12/6/2025
43,25,8/6/2025
44,46,5/4/2025
45,21,1/4/2025
46,72,4/23/2025
47,36,11/18/2025
48,78,10/10/2025
49,73,2/23/2025
0,87,1/20/2025
1,74,11/1/2025
2,5,8/19/2025
3,20,3/10/2025
4,74,5/16/2025
5,40,11/21/2025
6,2,11/6/2025
7,56,9/26/2025
8,17,6/20/2025
9,13,11/16/2025
10,79,10/13/2025
11,84,4/20/2025
12,26,4/17/2025
13,30,3/18/2025
14,9,9/23/2025
15,46,4/24/2025
16,38,5/17/2025
17,77,4/18/2025
18,70,2/24/2025
19,17,12/17/2025
20,28,12/5/2025
21,46,11/5/2025
22,44,6/28/2025
23,5,11/24/2025
24,68,2/12/2025
25,16,8/3/2025
26,32,6/21/2025
27,15,2/27/2025
28,52,12/5/2025
29,1,4/24/2025
30,46,11/30/2025
31,55,4/5/2025
32,80,8/29/2025
33,92,2/15/2025
34,32,6/19/2025
35,93,7/16/2025
36,87,1/10/2025
37,60,10/15/2025
38,83,10/5/2025
39,76,5/17/2025
40,86,9/4/2025
41,69,5/7/2025
42,55,12/4/2025
43,19,6/20/2025
44,17,2/16/2025
45,87,8/1/2025
46,35,5/26/2025
47,13,5/28/2025
48,50,12/21/2025
49,18,8/3/2025
0,48,3/26/2025
1,44,1/30/2025
2,58,5/22/2025
3,84,9/25/2025
4,3,9/5/2025
5,74,2/28/2025
6,10,5/17/2025
7,62,3/15/2025
8,99,10/16/2025
9,34,12/23/2025
10,54,12/28/2025
11,3,9/9/2025
12,49,9/29/2025
13,58,11/26/2025
14,11,5/18/2025
15,59,10/27/2025
16,49,4/6/2025
17,57,11/23/2025
18,92,12/7/2025
19,14,11/28/2025
20,95,5/9/2025
21,82,12/16/2025
22,91,12/25/2025
23,77,10/20/2025
24,2,1/12/2025
25,83,6/6/2025
26,71,7/10/2025
27,4,3/3/2025
28,64,7/6/2025
29,60,1/18/2025
30,30,4/17/2025
31,19,2/12/2025
32,32,6/2/2025
33,7,9/7/2025
34,67,9/26/2025
35,21,9/15/2025
36,63,10/15/2025
37,32,1/16/2025
38,59,6/13/2025
39,59,5/31/2025
40,27,3/19/2025
41,1,12/22/2025
42,87,1/25/2025
43,30,11/13/2025
44,55,1/30/2025
45,49,6/8/2025
46,93,1/16/2025
47,92,8/4/2025
48,47,8/9/2025
49,27,5/9/2025
0,2,7/31/2025
1,35,10/28/2025
2,1,12/18/2025
3,38,1/31/2025
4,76,9/18/2025
5,60,12/19/2025
6,52,8/4/2025
7,61,12/30/2025
8,65,3/12/2025
9,32,2/4/2025
10,34,7/4/2025
11,48,6/11/2025
12,99,1/31/2025
13,51,2/20/2025
14,100,12/20/2025
15,17,12/8/2025
16,8,11/9/2025
17,92,1/30/2025
18,3,12/4/2025
19,31,9/3/2025
20,48,10/14/2025
21,76,11/20/2025
22,91,6/30/2025
23,25,8/16/2025
24,63,6/2/2025
25,50,10/2/2025
26,14,5/29/2025
27,35,10/30/2025
28,54,10/26/2025
29,91,11/26/2025
30,21,4/11/2025
31,62,7/21/2025
32,35,8/19/2025
33,88,9/17/2025
34,85,3/16/2025
35,74,2/20/2025
36,56,8/30/2025
37,65,6/11/2025
38,10,5/1/2025
39,7,10/27/2025
40,51,12/1/2025
41,100,2/7/2025
42,40,8/16/2025
43,21,7/8/2025
44,58,2/27/2025
45,56,2/1/2025
46,25,8/7/2025
47,8,2/12/2025
48,6,9/27/2025
49,53,10/12/2025
0,45,7/8/2025
1,41,2/21/2025
2,44,9/2/2025
3,79,4/20/2025
4,100,10/10/2025
5,35,9/7/2025
6,22,2/5/2025
7,81,9/5/2025
8,42,8/15/2025
9,90,12/6/2025
10,25,9/27/2025
11,75,12/28/2025
12,18,10/1/2025
13,15,4/5/2025
14,25,6/21/2025
15,41,12/24/2025
16,21,8/30/2025
17,76,8/27/2025
18,32,4/3/2025
19,34,12/17/2025
20,65,8/25/2025
21,65,2/18/2025
22,18,9/14/2025
23,74,8/29/2025
24,51,3/15/2025
25,23,12/7/2025
26,79,3/31/2025
27,83,1/11/2025
28,51,9/26/2025
29,75,1/14/2025
30,21,3/3/2025
31,43,12/22/2025
32,57,8/16/2025
33,22,3/28/2025
34,99,12/18/2025
35,42,9/7/2025
36,14,2/27/2025
37,20,3/8/2025
38,76,12/8/2025
39,43,9/25/2025
40,4,7/5/2025
41,5,10/21/2025
42,44,12/23/2025
43,79,7/21/2025
44,96,6/14/2025
45,22,12/9/2025
46,78,1/21/2025
47,18,9/1/2025
48,24,5/7/2025
49,82,1/16/2025
0,19,4/24/2025
1,38,8/3/2025
2,18,10/19/2025
3,66,6/11/2025
4,41,5/30/2025
5,3,10/23/2025
6,33,3/20/2025
7,93,11/20/2025
8,46,11/2/2025
9,81,2/28/2025
10,55,5/31/2025
11,43,6/13/2025
12,36,3/27/2025
13,40,6/19/2025
14,93,6/29/2025
15,23,8/6/2025
16,64,5/29/2025
17,70,12/17/2025
18,46,6/15/2025
19,72,1/10/2025
20,65,8/25/2025
21,63,12/14/2025
22,71,5/12/2025
23,69,3/4/2025
24,75,6/18/2025
25,41,3/22/2025
26,28,9/1/2025
27,37,8/17/2025
28,10,6/5/2025
29,22,12/4/2025
30,37,1/24/2025
31,54,6/23/2025
32,47,7/19/2025
33,5,8/23/2025
34,60,9/14/2025
35,83,7/3/2025
36,94,9/3/2025
37,86,5/13/2025
38,61,9/9/2025
39,43,11/14/2025
40,100,10/29/2025
41,65,2/22/2025
42,2,7/15/2025
43,26,4/30/2025
44,72,2/8/2025
45,59,4/9/2025
46,88,6/23/2025
47,51,7/3/2025
48,90,1/4/2025
49,19,1/25/2025
0,78,10/25/2025
1,49,12/23/2025
2,6,6/4/2025
3,24,12/11/2025
4,5,9/8/2025
5,7,8/23/2025
6,99,7/14/2025
7,99,5/27/2025
8,64,11/15/2025
9,34,5/5/2025
10,20,12/14/2025
11,9,1/15/2025
12,78,4/3/2025
13,51,8/2/2025
14,74,5/30/2025
15,83,5/31/2025
16,82,8/24/2025
17,10,1/23/2025
18,87,9/13/2025
19,41,1/13/2025
20,96,11/28/2025
21,50,4/6/2025
22,43,2/17/2025
23,17,12/1/2025
24,5,3/27/2025
25,31,11/10/2025
26,100,5/19/2025
27,95,1/16/2025
28,44,12/23/2025
29,84,9/12/2025
30,61,12/20/2025
31,76,10/22/2025
32,80,11/12/2025
33,61,8/20/2025
34,62,8/23/2025
35,74,10/14/2025
36,25,3/19/2025
37,65,7/16/2025
38,61,5/23/2025
39,38,6/8/2025
40,98,10/7/2025
41,55,2/4/2025
42,21,12/26/2025
43,58,7/28/2025
44,62,2/25/2025
45,94,6/19/2025
46,34,6/20/2025
47,19,11/30/2025
48,71,8/5/2025
49,53,7/9/2025
0,79,1/2/2025
1,70,12/1/2025
2,82,7/12/2025
3,41,4/9/2025
4,24,12/28/2025
5,11,5/25/2025
6,67,10/20/2025
7,8,9/15/2025
8,30,3/4/2025
9,64,10/21/2025
10,41,3/25/2025
11,59,5/16/2025
12,40,1/3/2025
13,60,1/12/2025
14,22,1/24/2025
15,66,11/30/2025
16,3,9/20/2025
17,95,1/21/2025
18,46,9/28/2025
19,97,3/3/2025
20,99,7/18/2025
21,34,11/15/2025
22,4,2/28/2025
23,81,7/25/2025
24,52,8/26/2025
25,51,10/13/2025
26,66,11/1/2025
27,7,3/12/2025
28,87,9/18/2025
29,57,11/25/2025
30,26,8/17/2025
31,54,4/9/2025
32,79,12/28/2025
33,49,12/26/2025
34,56,5/5/2025
35,30,10/31/2025
36,94,3/22/2025
37,38,4/19/2025
38,48,11/12/2025
39,64,4/19/2025
40,32,10/21/2025
41,73,9/11/2025
42,10,4/4/2025
43,51,6/13/2025
44,2,9/15/2025
45,4,10/1/2025
46,38,7/9/2025
47,17,11/16/2025
48,28,10/22/2025
49,86,11/22/2025
0,78,3/31/2025
1,92,12/7/2025
2,32,12/13/2025
3,58,1/10/2025
4,37,3/3/2025
5,48,4/5/2025
6,14,11/10/2025
7,74,4/23/2025
8,99,11/28/2025
9,75,11/2/2025
10,43,6/23/2025
11,70,3/13/2025
12,23,3/27/2025
13,77,11/17/2025
14,93,8/29/2025
15,11,6/28/2025
16,80,9/28/2025
17,20,11/1/2025
18,94,1/8/2025
19,12,9/19/2025
20,66,8/7/2025
21,40,6/10/2025
22,6,4/11/2025
23,45,6/28/2025
24,24,12/3/2025
25,11,5/23/2025
26,46,3/22/2025
27,84,3/29/2025
28,21,2/23/2025
29,43,12/20/2025
30,68,5/28/2025
31,99,8/16/2025
32,70,10/30/2025
33,99,10/24/2025
34,8,7/2/2025
35,47,3/5/2025
36,25,11/19/2025
37,5,8/25/2025
38,31,12/14/2025
39,28,10/19/2025
40,60,3/31/2025
41,26,9/12/2025
42,15,9/25/2025
43,92,2/3/2025
44,60,6/25/2025
45,82,8/20/2025
46,13,7/4/2025
47,91,2/14/2025
48,77,9/19/2025
49,83,12/25/2025
0,99,7/27/2025
1,66,8/23/2025
2,61,10/28/2025
3,12,12/18/2025
4,57,6/4/2025
5,58,3/29/2025
6,100,12/27/2025
7,28,8/30/2025
8,79,3/19/2025
9,41,1/12/2025
10,52,2/3/2025
11,81,1/27/2025
12,14,4/11/2025
13,24,12/30/2025
14,69,5/26/2025
15,21,12/29/2025
16,42,8/7/2025
17,84,9/12/2025
18,80,1/29/2025
19,49,5/10/2025
20,72,10/29/2025
21,30,5/10/2025
22,5,11/15/2025
23,36,4/26/2025
24,98,1/27/2025
25,90,2/17/2025
26,23,3/26/2025
27,66,11/23/2025
28,39,10/28/2025
29,74,5/27/2025
30,46,3/7/2025
31,36,12/27/2025
32,33,6/2/2025
33,34,1/9/2025
34,63,11/11/2025
35,88,7/28/2025
36,54,9/25/2025
37,73,7/6/2025
38,58,9/8/2025
39,85,10/26/2025
40,15,4/3/2025
41,96,8/13/2025
42,96,7/13/2025
43,66,6/22/2025
44,56,2/21/2025
45,81,9/26/2025
46,77,2/26/2025
47,28,12/12/2025
48,64,4/18/2025
49,59,8/30/2025
0,77,12/15/2025
1,75,2/19/2025
2,98,9/28/2025
3,22,8/13/2025
4,71,4/24/2025
5,46,5/29/2025
6,83,10/25/2025
7,51,2/25/2025
8,40,5/3/2025
9,46,4/9/2025
10,96,12/9/2025
11,76,1/26/2025
12,82,1/24/2025
13,73,10/19/2025
14,60,8/31/2025
15,55,10/9/2025
16,8,2/4/2025
17,88,2/9/2025
18,90,1/6/2025
19,83,12/10/2025
20,21,4/11/2025
21,25,9/12/2025
22,65,4/14/2025
23,61,3/17/2025
24,52,10/12/2025
25,72,7/4/2025
26,96,4/8/2025
27,64,5/19/2025
28,27,8/12/2025
29,87,9/21/2025
30,18,10/25/2025
31,63,8/22/2025
32,18,6/27/2025
33,19,11/14/2025
34,34,10/27/2025
35,38,9/26/2025
36,6,2/28/2025
37,35,9/26/2025
38,13,5/11/2025
39,2,10/6/2025
40,70,8/25/2025
41,56,6/4/2025
42,35,3/21/2025
43,28,8/23/2025
44,80,1/3/2025
45,53,1/11/2025
46,87,2/21/2025
47,3,12/15/2025
48,37,1/14/2025
49,83,4/19/2025
0,94,5/18/2025
1,62,8/13/2025
2,71,12/29/2025
3,13,3/23/2025
4,26,6/12/2025
5,98,5/30/2025
6,34,2/12/2025
7,65,11/26/2025
8,60,8/20/2025
9,99,12/11/2025
10,94,11/5/2025
11,35,1/8/2025
12,98,12/21/2025
13,59,9/21/2025
14,83,7/4/2025
15,8,8/20/2025
16,83,10/27/2025
17,59,11/28/2025
18,13,8/12/2025
19,75,3/4/2025
20,16,1/30/2025
21,99,2/8/2025
22,8,3/2/2025
23,88,5/30/2025
24,25,9/9/2025
25,60,4/23/2025
26,69,11/30/2025
27,17,11/14/2025
28,46,12/25/2025
29,56,9/12/2025
30,31,8/31/2025
31,3,3/8/2025
32,65,12/18/2025
33,22,12/6/2025
34,53,6/8/2025
35,76,1/8/2025
36,29,7/16/2025
37,58,3/19/2025
38,62,7/17/2025
39,50,3/5/2025
40,50,9/27/2025
41,57,7/19/2025
42,32,5/4/2025
43,9,8/21/2025
44,29,1/31/2025
45,64,12/12/2025
46,66,11/28/2025
47,45,2/24/2025
48,23,2/11/2025
49,49,5/22/2025
0,92,1/23/2025
